index,question,answer
50,Which Division I schools recruited LeBron James for football?,"LeBron James was recruited by several Division I programs, including Notre Dame, for his football prowess."
51,What honor did LeBron James receive in football during his second year of high school?,"At the conclusion of his second year, LeBron James was named first team all-state in football."
52,Why did LeBron James not play football during his senior year?,LeBron James did not play football during his senior year due to a wrist injury sustained in an AAU basketball game.
53,What was speculated about LeBron James' potential in another sport?,Some sports analysts and former players have speculated that LeBron James could have played in the National Football League.
54,Which team drafted LeBron James in the 2003 NBA draft?,"LeBron James was selected by his hometown team, the Cleveland Cavaliers, as the first overall pick of the 2003 NBA draft."
55,How many points did LeBron James score in his first regular season NBA game?,"In his first regular season game, LeBron James scored 25 points against the Sacramento Kings."
56,What record did LeBron James set during his NBA debut?,LeBron James set an NBA record for the most points scored by a prep-to-pro player in his debut performance.
57,What award did LeBron James win at the end of his rookie season?,"At the conclusion of the 2003–2004 season, LeBron James became the first Cavalier to receive the NBA Rookie of the Year Award."
58,What were LeBron James' final averages during his rookie season?,"LeBron James finished his rookie season with averages of 20.9 points, 5.5 rebounds, and 5.9 assists per game."
59,Who did LeBron James achieve as a rookie in NBA history?,"LeBron James became the third player in league history to average at least 20 points, 5 rebounds, and 5 assists per game as a rookie."
60,How did the Cleveland Cavaliers finish the season in terms of wins and losses during LeBron's rookie year?,"Cleveland finished the season 35–47, failing to make the playoffs despite an 18-game improvement over the previous year."
61,What was LeBron James' contribution in his first NBA All-Star Game?,"In his first NBA All-Star Game, LeBron James contributed 13 points, 8 rebounds, and 6 assists, helping the Eastern Conference win."
62,What did Denver Nuggets coach George Karl say about LeBron James?,"George Karl commented, 'It's weird talking about a 20-year-old kid being a great player, but he is a great player ... He's the exception to almost every rule.'"
63,What record did LeBron James set on March 20 against the Toronto Raptors?,"On March 20, LeBron James scored 56 points against the Toronto Raptors, setting Cleveland's new single-game points record."
64,What were LeBron James' final averages for the 2004–2005 season?,"LeBron James ended the 2004–2005 season with averages of 27.2 points, 7.4 rebounds, 7.2 assists, and 2.2 steals per game."
65,How did the Cleveland Cavaliers perform in the 2004–2005 season?,"The Cleveland Cavaliers finished the 2004–2005 season with a record of 42–40, failing to make the playoffs despite a strong start."
66,How many points did LeBron James score in the 2006 NBA All-Star Game?,LeBron James scored 29 points in the 2006 NBA All-Star Game and led the East to victory.
67,What honor did LeBron James receive during the 2006 NBA All-Star Game?,LeBron James was named the NBA All-Star Game Most Valuable Player in 2006.
68,What were LeBron James' average statistics for the 2006 season?,"LeBron James finished the 2006 season with averages of 31.4 points, 7 rebounds, and 6.6 assists per game."
69,"Who won the NBA MVP award in 2006, ahead of LeBron James?",LeBron James finished second in the NBA Most Valuable Player Award voting to Steve Nash in 2006.
70,When did the Cavaliers last make the playoffs before 2006 under LeBron James' leadership?,"Under LeBron James' leadership, the Cavaliers qualified for the playoffs in 2006 for the first time since 1998."
71,What notable performance did LeBron James have in his postseason debut?,"In his postseason debut, LeBron James recorded a triple-double in a winning effort versus the Washington Wizards."
72,What significant event occurred in Game 3 of the series against the Wizards?,"In Game 3 of the series, LeBron James made the first game-winning shot of his career."
73,What was the outcome of the Cavaliers' playoff run in 2006?,The Cleveland Cavaliers went on to defeat the Washington Wizards before being ousted by the Detroit Pistons in the second round.
74,What were LeBron James' average statistics for the 2006–2007 season?,"LeBron James averaged 27.3 points, 6.7 rebounds, 6 assists, and 1.6 steals per game in the 2006–2007 season."
75,Why did some analysts claim LeBron James' performance declined during the 2006–2007 season?,"Analysts attributed LeBron James' performance decline to a regression in his passing skills and shot selection, citing a lack of effort and focus."
76,How did the Cavaliers finish the 2006–2007 regular season?,The Cavaliers finished the 2006–2007 regular season with 50 wins and entered the playoffs as the East's second seed.
77,Describe LeBron James' performance in Game 5 of the Eastern Conference finals against the Pistons.,"In Game 5, LeBron James scored 48 points with 9 rebounds and 7 assists, including scoring 29 of Cleveland's last 30 points and making the game-winning layup in a double-overtime victory."
78,How did commentators react to LeBron James' performance in Game 5 of the Eastern Conference finals?,Marv Albert called it 'one of the greatest moments in postseason history' and Steve Kerr described it as 'Jordan-esque'.
79,What was LeBron James' performance like in the 2007 NBA Finals?,"During the Finals, LeBron James struggled, averaging 22 points, 7.0 rebounds, and 6.8 assists per game on just 35.6 percent shooting."
80,What was the outcome of the Cavaliers' 2007 playoff run?,The Cavaliers won their first-ever Eastern Conference championship and faced the San Antonio Spurs in the Finals.
81,How many times had LeBron James been named All-Star Game MVP by the end of the 2007-2008 season?,"By the end of the 2007-2008 season, LeBron James had been named All-Star Game MVP twice."
82,What was LeBron James' performance in the 2008 All-Star Game?,"In the 2008 All-Star Game, LeBron James contributed 27 points, 8 rebounds, and 9 assists."
83,When did LeBron James become the Cavaliers' all-time leading scorer?,"LeBron James became the Cavaliers' all-time leading scorer on March 21, 2008, surpassing Brad Daugherty."
84,"What was LeBron James' scoring average for the 2007-2008 season, and how did it rank in the NBA?","LeBron James' scoring average for the 2007-2008 season was 30 points per game, which was the highest in the league."
85,What was the Cavaliers' record for the 2007-2008 regular season?,The Cleveland Cavaliers finished the 2007-2008 regular season with a record of 45-37.
86,How far did the Cavaliers go in the 2008 playoffs?,The Cavaliers defeated the Wizards in the first round but were eliminated by the Boston Celtics in seven games in the second round.
87,Describe the pivotal moment in the decisive seventh game against the Boston Celtics.,"In the decisive seventh game against the Boston Celtics, LeBron James scored 45 points in what was described as a 'shootout' with Paul Pierce, who scored 41 points."
88,How did LeBron James fare in the NBA Defensive Player of the Year Award voting for the 2008-2009 season?,LeBron James finished second in the NBA Defensive Player of the Year Award voting for the 2008-2009 season.
89,What defensive achievement did LeBron James reach during the 2008-2009 season?,"During the 2008-2009 season, LeBron James posted 23 chase-down blocks and a career-high 93 total blocks."
90,What rare statistical leadership did LeBron James achieve in the 2008-2009 season?,"LeBron James became only the fourth post-merger player to lead his team in points, rebounds, assists, steals, and blocks in a single season."
91,What was the Cleveland Cavaliers' record for the 2008-2009 regular season?,The Cleveland Cavaliers went a franchise record 66-16 and fell just one game short of matching the best home record in league history.
92,What were LeBron James' final averages for the 2008-2009 NBA season?,"LeBron James had final averages of 28.4 points, 7.6 rebounds, 7.2 assists, 1.7 steals, and 1.2 blocks per game in the 2008-2009 season."
93,What historic award did LeBron James win for the first time in the 2008-2009 season?,LeBron James became the first Cavalier to win the MVP Award during the 2008-2009 season.
94,How did ESPN's John Hollinger describe LeBron James' 2008-2009 season?,"John Hollinger wrote for ESPN that 'He's having what is arguably the greatest individual season in history, and it's time we gave him his due for it.'"
95,Which teams did Cleveland defeat to reach the conference finals in the playoffs?,Cleveland swept the Pistons and the Atlanta Hawks to earn a matchup with the Orlando Magic in the conference finals.
96,How many points did LeBron James score in Game 1 of the series against the Orlando Magic?,"In Game 1 of the series against the Orlando Magic, LeBron James scored 49 points on 66 percent shooting."
97,What was the outcome of LeBron James' action at the end of Game 6 against the Orlando Magic?,"Following the loss in Game 6, LeBron James immediately left the floor without shaking hands with his opponents, which many media members viewed as unsportsmanlike."
98,What were LeBron James' average statistics for the series against the Orlando Magic?,"For the series against the Orlando Magic, LeBron James averaged 38.5 points, 8.3 rebounds, and 8 assists per game."
99,What was LeBron James' scoring average for the entire postseason?,LeBron James finished the postseason with a career playoff-high average of 35.3 points per game.
100,Why did LeBron James play as a point guard during the 2009-2010 season?,LeBron James was forced into a temporary point guard role following a series of injuries to players in the Cavaliers' backcourt.
101,What was the result of LeBron James leading as point guard in the 2009-2010 season?,"Behind LeBron James' leadership as point guard, Cleveland finished the year with the best record in the league for the second consecutive season."
102,What were LeBron James' average statistics during the 2009-2010 NBA season?,"LeBron James increased his statistical production, averaging 29.7 points, 7.3 rebounds, 8.6 assists, 1.6 steals, and 1 block per game on 50 percent shooting."
103,How did LeBron James perform in Game 5 against the Celtics during the 2010 playoffs?,"In Game 5 against the Celtics, LeBron James shot only 20 percent on 14 shots, scoring 15 points and was heavily criticized for his performance."
104,What was the crowd's reaction to LeBron James at the end of Game 5 during the 2010 playoffs?,"At the conclusion of Game 5, LeBron James walked off the court to a smattering of boos from Cleveland's home crowd."
105,What was LeBron James' performance in the final game against the Celtics in the 2010 playoffs?,"In Game 6 against the Celtics, LeBron James posted 27 points, 19 rebounds, 10 assists, and 9 turnovers in a losing effort."
106,When did LeBron James become an unrestricted free agent in 2010?,"LeBron James became an unrestricted free agent at 12:01 am EDT on July 1, 2010."
107,Which teams contacted LeBron James during his 2010 free agency?,"During his 2010 free agency, LeBron James was contacted by several teams, including the Bulls, Clippers, Heat, Knicks, Nets, and Cavaliers."
108,Where did LeBron James announce his decision to join the Miami Heat?,"LeBron James announced his decision to join the Miami Heat on a live ESPN special titled 'The Decision' broadcast from the Boys & Girls Club of Greenwich, Connecticut."
109,How much money was raised for charity from 'The Decision' telecast?,"The telecast of 'The Decision' raised $2.5 million for the Boys & Girls Club of Greenwich, Connecticut, with an additional $3.5 million raised from advertising revenue donated to other charities."
110,Who were the fellow free agents that announced their decision to sign with Miami a day before LeBron?,"The day before LeBron's announcement, fellow free agents Chris Bosh and Dwyane Wade also announced that they would sign with Miami."
111,What was one of the reasons LeBron James decided to join Miami?,"LeBron James decided to join with Bosh and Wade in part so that he could shoulder less of the offensive load, believing that his improved teammates would give him a better chance of winning an NBA championship."
112,What role did Pat Riley play in LeBron James' decision to join the Heat?,Heat president Pat Riley played a major role in selling James on the idea of playing with Bosh and Wade.
113,What was the general reaction to LeBron James' departure from the Cavaliers?,"Upon leaving the Cavaliers, LeBron James drew intense criticism from sports analysts, executives, fans, and both current and former players."
114,How was 'The Decision' special viewed by the public and analysts?,"'The Decision' itself was scrutinized and viewed as unnecessary, with many considering the prolonged wait for James’s choice as unprofessional."
115,What action did the Cavaliers owner take after LeBron James announced his decision to join Miami?,Cavaliers owner Dan Gilbert published an open letter to fans in which he aggressively denounced James's actions.
116,How did some Cavaliers fans react to LeBron James leaving Cleveland?,Some angry fans of the team recorded videos of themselves burning his jersey.
117,What was the reaction of former NBA players to LeBron James joining Miami?,"Former NBA players, including Michael Jordan and Magic Johnson, criticized James for not trying to win a championship as 'the man'."
118,What did LeBron James suggest as a factor in the fallout from 'The Decision' during a CNN interview?,"In a September interview with CNN, LeBron James claimed that race might have been a factor in the fallout from 'The Decision'."
119,How did LeBron James' public image change after the 2010 free agency?,"As a result of his actions during the 2010 free agency period, LeBron James quickly gained a reputation as one of America's most disliked athletes."
120,How has LeBron James reflected on his handling of 'The Decision'?,"In retrospect, LeBron James has expressed some regret over his handling of 'The Decision'."
121,When did LeBron James officially sign with the Miami Heat?,"LeBron James officially signed with the Heat on July 10, 2010."
122,What were the terms of the sign-and-trade deal that brought LeBron James to the Heat?,The sign-and-trade deal for LeBron James sent two second-round and two first-round draft picks to the Cavaliers and gave them the option to swap first-round picks with the Heat in 2012.
123,How did LeBron James describe the potential future of the Heat during the welcome party?,"During the welcome party, LeBron James predicted a dynasty for the Heat and alluded to multiple championships."
124,What was the public's reaction outside of Miami to the welcome party for the Heat's new 'big three'?,"Outside of Miami, the spectacle of the welcome party was not well-received, furthering the negative public perception of James."
125,What historical significance did LeBron James's move to the Heat have regarding MVPs changing teams?,LeBron James became only the third reigning MVP to change teams and the first since Moses Malone in 1982.
126,What was the atmosphere like at the welcome party for the Heat's new 'big three'?,The welcome party for the Heat's new 'big three' at the American Airlines Arena took on a rock concert atmosphere.
127,How did the media and fans perceive LeBron James and the Heat during the 2010-11 season?,"Throughout the 2010–11 season, the media and opposing fanbases treated James and the Heat as villains."
128,What was the Miami Heat's record after the first 17 games of the 2010-11 season?,"To begin the year, the Heat struggled to adjust, going only 9–8 after 17 games."
129,How did LeBron James describe his demeanor during the games in the 2010-11 season?,LeBron James later admitted that the constant negativity surrounding the team made him play with an angrier demeanor than in years past.
130,What happened when LeBron James faced the Cavaliers in Cleveland for the first time after leaving?,"On December 2, LeBron James faced the Cavaliers in Cleveland for the first time since departing as a free agent and scored 38 points, leading Miami to a win while being booed every time he touched the ball."
131,What was the Miami Heat's final seeding in the Eastern Conference for the 2010-11 season?,The Heat eventually turned their season around and finished as the East's second seed.
132,What were LeBron James' average statistics for the 2010-11 NBA season?,"James averaged 26.7 points, 7.5 rebounds, and 7 assists per game on 51 percent shooting for the season."
133,Against which team did the Heat play in the Conference semifinals for the second consecutive year?,"In the Conference semifinals, James and his teammates were matched up with the Celtics for the second consecutive year."
134,What significant action did LeBron James take after winning Game 5 against the Celtics?,"After the final buzzer of Game 5, LeBron James famously knelt on the court in an emotional moment, expressing that it was an extremely personal victory."
135,How far did the Heat advance in the playoffs during the season discussed?,"The Heat eventually advanced to the Finals, where they were defeated by the Dallas Mavericks in six games."
136,What was a major criticism of LeBron James during the Finals against the Mavericks?,"James received significant criticism for his performance in the Finals, particularly for averaging only three points in fourth quarters throughout the series."
137,"What was LeBron James' scoring average during the Finals, and how did it compare to his regular-season performance?","His Finals scoring average of 17.8 points per game signified an 8.9-point drop from the regular season, the largest point drop-off in league history."
138,What event delayed the start of the 2011-2012 NBA season?,The 2011-2012 season was delayed by a lockout.
139,With whom did LeBron James work during the extended summer to improve his skills?,"During the extended summer, LeBron James worked with Hakeem Olajuwon to improve his post-up game."
140,How did the loss to the Mavericks in the previous season affect LeBron James' approach to basketball?,"Humbled by the Heat's loss to the Mavericks, LeBron was inspired to leave behind the villain role he had been embracing, helping him regain a sense of joy on the court."
141,What was the Miami Heat's record at the start of the 2011-2012 season?,Miami began the year with a franchise-best 18–6 record.
142,How many times has LeBron James been named MVP by the end of the 2011-2012 season?,LeBron James was named MVP for the third time by the end of the 2011-2012 season.
143,What were LeBron James' average statistics for the 2011-2012 season?,"LeBron James finished the season with averages of 27.1 points, 7.9 rebounds, 6.2 assists, and 1.9 steals per game on 53 percent shooting."
144,What injury did a key Miami Heat player suffer during the second round of the playoffs?,"Chris Bosh suffered an abdominal injury during the second round of the playoffs, which led to him temporarily leaving the series."
145,How did LeBron James respond in Game 4 against the Indiana Pacers after trailing in the series?,"LeBron James responded with a 40-point, 18-rebound, and 9-assist performance in Game 4 to help even the series."
146,What strategic change did the Heat make in response to Chris Bosh's injury?,"To compensate for Bosh's absence, the Heat embraced a small-ball lineup with LeBron James at power forward, which they retained even after Bosh's return."
147,Describe LeBron James' performance in Game 6 against the Celtics facing elimination.,"Facing elimination in Game 6, LeBron James recorded 45 points and 15 rebounds to lead the Heat to victory in what was called a 'career-defining performance'."
148,What happened in Game 4 of the NBA Finals against the Oklahoma City Thunder?,"Late in Game 4, LeBron James hit a crucial three-pointer to give the Heat a lead, helping them win the game despite suffering from leg cramps."
149,What was LeBron James' achievement in Game 5 of the NBA Finals?,"In Game 5, LeBron James registered a triple-double as Miami defeated Oklahoma City to win their second-ever championship and James's first championship."
150,What honor did LeBron James receive at the end of the NBA Finals?,LeBron James was unanimously voted the Bill Russell NBA Finals Most Valuable Player.
151,How was LeBron James' entire postseason performance later ranked by ESPN?,"LeBron James' full postseason run, in which he averaged 30.3 points, 9.7 rebounds, and 5.6 assists per game, was later ranked the second best in modern NBA history by ESPN."
152,What was LeBron James' average points and assists per game in February of the 2012-13 season?,"In February of the 2012-13 season, LeBron James averaged 29.7 points and 7.8 assists per game."
153,What record did the Miami Heat begin in February of the 2012-13 season?,"In February of the 2012-13 season, the Miami Heat began a 27-game winning streak, which is the third longest in NBA history."
154,How did Sports Illustrated describe LeBron James' performance in February of the 2012-13 season?,LeBron James's performance in February was described as a 'month for the ages' by Sports Illustrated.
155,What was the Miami Heat's record for the 2012-13 season?,Miami finished the year with a franchise and league best 66–16 record.
156,How many times has LeBron James been named MVP by the end of the 2012-13 season?,"By the end of the 2012-13 season, LeBron James was named MVP for the fourth time."
157,What was notable about LeBron James' MVP win in the 2012-13 season?,"LeBron James was named MVP for the fourth time, falling just one vote shy of becoming the first player in NBA history to win the award unanimously."
158,What were LeBron James' final season averages in the 2012-13 season?,"LeBron James' final season averages were 26.8 points, 8 rebounds, 7.3 assists, and 1.7 steals per game on 56.5 percent shooting."
159,What was the outcome of LeBron James' play in Game 1 of the Conference Finals against the Pacers?,"In Game 1 of the Conference Finals, LeBron James scored a buzzer-beating layup to give Miami a one-point victory against the Pacers."
160,How did LeBron James describe his responsibilities during the series against the Pacers?,"Throughout the series with the Pacers, LeBron James said his added scoring load reminded him of his 'Cleveland days' due to his supporting cast's struggles."
161,Who were the Miami Heat's opponents in the Finals following the Conference Finals against the Pacers?,"Following the Conference Finals against the Pacers, the Heat advanced to the Finals for a meeting with the Spurs."
162,How was LeBron James criticized at the beginning of the Finals series against the Spurs?,"At the beginning of the series against the Spurs, LeBron James was criticized for his lack of aggressiveness and poor shot selection as Miami fell behind 2–3."
163,What was notable about LeBron James' performance in Game 6 of the Finals?,"In Game 6, LeBron James recorded his second triple-double of the series, including 16 fourth quarter points, leading the Heat to a comeback victory."
164,What record did LeBron James tie in Game 7 of the Finals?,"In Game 7, LeBron James tied the Finals record for most points scored in a Game 7 victory, leading Miami over San Antonio with 37 points."
165,What were LeBron James' averages during the championship round when he was named Finals MVP?,"LeBron James was named Finals MVP for the second straight season, averaging 25.3 points, 10.9 rebounds, 7 assists, and 2.3 steals per game."
166,"What significant achievement did LeBron James reach on March 3, 2013-14 season?","On March 3 of the 2013-14 season, James scored a career-high and franchise-record 61 points in a game against the Charlotte Bobcats."
167,What record did LeBron James set with his three-point shooting in the game where he scored 61 points?,"James converted on his first eight three-point field goal attempts through three quarters, setting a new record for the most three-point field goals made in a 60-point game."
168,What was unique about LeBron James' appearance when he scored 61 points?,James set the record for most points in a single game while wearing a mask.
169,How many different starting lineups did the Heat use during the 2013-14 season?,"Throughout the year, the Heat used 20 different starting lineups due to injuries."
170,What was LeBron James' performance in Game 4 of the second round of the playoffs against the Brooklyn Nets?,"In the second round of the playoffs, he tied a career postseason-high by scoring 49 points in Game 4 against the Brooklyn Nets."
171,What historical NBA achievement did the Heat accomplish by reaching the Finals in the 2013-14 season?,"Miami defeated the Pacers to earn their fourth consecutive Finals berth, becoming one of only four teams in NBA history to do so."
172,What occurred during Game 1 of the Finals that affected LeBron James' play?,"In Game 1 of the Finals, James missed most of the fourth quarter because of leg cramps, helping the Spurs take an early series lead."
173,How did LeBron James perform in Game 2 of the Finals against the Spurs?,"In Game 2, he led the Heat to a series-tying victory with 35 points on a 64 percent shooting rate."
174,Did LeBron James opt out of his contract with the Miami Heat in July of 2014? ,LeBron James opted out of his contract with the Miami Heat in June of 2014.
175,When did LeBron James officially become an unrestricted free agent?,"LeBron James became an unrestricted free agent on July 1, 2014."
176,How did LeBron James announce his return to the Cleveland Cavaliers?,He announced his return to the Cleveland Cavaliers through a first-person essay in Sports Illustrated.
177,Was the reaction to LeBron's return to Cleveland largely positive?,"Yes, his decision to return to Cleveland was widely celebrated and well-received."
178,When did LeBron James sign his contract with the Cleveland Cavaliers?,"LeBron James officially signed with the Cleveland Cavaliers on July 12, 2014."
179,How did the Cavaliers perform in the four seasons after LeBron James left for Miami?,"The Cavaliers had a very difficult time after his departure, with a league-worst 97-215 record."
180,Who did the Cavaliers acquire to form a new star trio with LeBron James and Kyrie Irving?,The Cavaliers acquired Kevin Love from the Minnesota Timberwolves.
181,When did the Cavaliers acquire Kevin Love?,The Cavaliers acquired Kevin Love a month after LeBron James signed with the team.
182,Why did LeBron James miss games during the 2014-2015 season?,LeBron James missed games due to strains in his left knee and lower back. 
183,How long was LeBron's absence during the 2014-2015 season?,"He missed two weeks of games, the longest consecutive absence of his career at that point."
184,How many games did LeBron James play in the 2014-2015 season?,"He played in 69 games, a career-low for him."
185,"What were LeBron James's scoring, rebounding, and assist averages in the 2014-2015 season?","His averages were 25.3 points, 6 rebounds, and 7.4 assists per game."
186,How did LeBron James help the Cavaliers in the second round of the playoffs against the Bulls?,He hit a buzzer-beater shot to tie the series 2-2 against the Chicago Bulls. 
187,Which team did the Cavaliers defeat in the Conference Finals to reach the NBA Finals?,The Cavaliers defeated the Atlanta Hawks to reach the NBA Finals. 
188,Did LeBron James play in the Finals for the fifth consecutive year?,"Yes, he became the first player since the 1960s to reach five consecutive NBA Finals."
189,Why did LeBron James have greater responsibilities in the Finals against the Warriors?,Kevin Love and Kyrie Irving were both injured and unable to play for most of the series. 
190,Was LeBron James involved in off-court controversies during the 2015-2016 season?,"Yes, LeBron James faced criticism for his role in various off-court controversies, including the firing of coach David Blatt."
191,How did the Cavaliers perform during the 2015-2016 regular season?,They finished with a 57-win season and secured the top seed in the Eastern Conference.
192,"What were LeBron James's averages for points, rebounds, and assists during the 2015-2016 season?","He averaged 25.3 points, 7.4 rebounds, and 6.8 assists per game."
193,How did the Cavaliers fare in the 2016 playoffs before reaching the Finals?,"The Cavaliers had a dominant playoff run, losing only two games before the Finals."
194,Who did the Cavaliers face in the 2016 NBA Finals?,The Cavaliers played a rematch against the Golden State Warriors in the Finals. 
195,What was notable about the Cavaliers' opponent in the 2016 Finals?,The Golden State Warriors had just completed a historic season with a record-setting 73 wins. 
196,Did LeBron James shoot over 50% from the field during the 2015-2016 season?,"Yes, LeBron James shot 52% from the field during the 2015-2016 season."
197,Did the Cleveland Cavaliers win 60 games during the 2015-2016 regular season?,"No, the Cleveland Cavaliers won 57 games during the 2015-2016 regular season."
198,How did the 2016-2017 season unfold for the Cleveland Cavaliers? ,The Cavaliers had a difficult season with injuries and unexpected losses.
199,How did LeBron James feel about the 2016-2017 season? ,He described it as one of the strangest years of his professional career.
200,How did LeBron James react to a loss against the New Orleans Pelicans? ,He publicly criticized the Cavaliers' front office for how the team was constructed. 
201,Did LeBron James receive criticism for his comments about the team's front office?,"Yes, he faced criticism for his public comments about the Cleveland Cavaliers' roster."
202,How did the Cavaliers finish the 2016-2017 regular season?,They finished as the second seed in the Eastern Conference. 
203,How did LeBron James' averages change in the 2016-2017 season compared to previous years?,"He averaged career-highs in rebounds, assists, and turnovers per game."
